date,hour,time_block,purchase_bid_(mw),sell_bid_(mw),mcv_(mw),final_scheduled_volume_(mw),mcp_(rs/mwh)_*,imbalance,price_change,execution_ratio,start_time,timestamp
24-05-2026,4,03:45 - 04:00,21242.0,3515.8,3515.8,3515.8,10000.0,17726.2,0.0,0.16551172206006967,03:45,2026-05-24 03:45:00
24-05-2026,5,04:00 - 04:15,20875.9,3670.9,3670.9,3670.9,10000.0,17205.0,0.0,0.1758439157114184,04:00,2026-05-24 04:00:00
24-05-2026,5,04:15 - 04:30,19938.9,3784.6,3784.6,3784.6,10000.0,16154.300000000001,0.0,0.189809869150254,04:15,2026-05-24 04:15:00
24-05-2026,5,04:30 - 04:45,18728.2,3880.4,3880.4,3880.4,10000.0,14847.800000000001,0.0,0.20719556604478806,04:30,2026-05-24 04:30:00
24-05-2026,5,04:45 - 05:00,17708.1,3984.7,3984.7,3984.7,10000.0,13723.399999999998,0.0,0.22502131792795388,04:45,2026-05-24 04:45:00
24-05-2026,6,05:00 - 05:15,15898.6,4437.4,4369.7,4369.7,10000.0,11461.2,0.0,0.27484809983268965,05:00,2026-05-24 05:00:00
24-05-2026,6,05:15 - 05:30,15760.0,4801.8,4676.79,4676.79,8800.64,10958.2,-1199.3600000000006,0.2967506345177665,05:15,2026-05-24 05:15:00
24-05-2026,6,05:30 - 05:45,16006.6,4987.6,4679.0,4679.0,7000.08,11019.0,-1800.5599999999995,0.2923169192708008,05:30,2026-05-24 05:30:00
24-05-2026,6,05:45 - 06:00,15870.8,5357.8,4716.8,4716.8,6899.63,10513.0,-100.44999999999982,0.297199889104519,05:45,2026-05-24 05:45:00
24-05-2026,7,06:00 - 06:15,15542.0,5969.1,5142.69,5142.69,6000.59,9572.9,-899.04,0.3308898468665551,06:00,2026-05-24 06:00:00
24-05-2026,7,06:15 - 06:30,14774.2,6124.3,5231.4,5231.4,5249.58,8649.900000000001,-751.0100000000002,0.35409023838854214,06:15,2026-05-24 06:15:00
24-05-2026,7,06:30 - 06:45,13583.2,6508.3,4298.7,4298.7,4482.96,7074.900000000001,-766.6199999999999,0.3164718181282761,06:30,2026-05-24 06:30:00
24-05-2026,7,06:45 - 07:00,12829.3,7096.3,3742.3,3742.3,3780.65,5732.999999999999,-702.31,0.29169946918382145,06:45,2026-05-24 06:45:00
24-05-2026,8,07:00 - 07:15,13291.2,9844.1,5450.5,5450.5,4000.01,3447.1000000000004,219.36000000000013,0.4100833634284338,07:00,2026-05-24 07:00:00
24-05-2026,8,07:15 - 07:30,13019.0,12118.6,5663.0,5663.0,3502.7,900.3999999999996,-497.3100000000004,0.43497964513403486,07:15,2026-05-24 07:15:00
24-05-2026,8,07:30 - 07:45,12949.8,15699.9,6768.91,6768.91,3000.25,-2750.1000000000004,-502.4499999999998,0.5227038255417072,07:30,2026-05-24 07:30:00
24-05-2026,8,07:45 - 08:00,12623.0,20825.8,7525.2,7525.2,1810.98,-8202.8,-1189.27,0.5961498851303176,07:45,2026-05-24 07:45:00
24-05-2026,9,08:00 - 08:15,12509.5,26607.4,8123.5,8123.5,1805.61,-14097.900000000001,-5.370000000000118,0.6493864662856229,08:00,2026-05-24 08:00:00
